epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2561.66,0.07501,0.37884,0.12871,0.17422,0.89672,0.99538,1,0.99344,0.99344,0.99538,1,0.99344,0.89404,0.13609,0.23721,0.07276,0.24796,0.2222,0.0010376,0.0010376,0.0010376
85,2591.82,0.07123,0.37574,0.12747,0.17066,0.89297,0.99442,1,0.99261,0.99261,0.99442,1,0.99261,0.87469,0.16409,0.306,0.05704,0.38109,0.23609,0.00103288,0.00103288,0.00103288
86,2621.94,0.07306,0.35353,0.12641,0.17732,0.89193,0.98602,1,0.9928,0.99279,0.98602,1,0.9928,0.9133,0.19424,0.22706,0.05293,0.30288,0.26165,0.00102817,0.00102817,0.00102817
87,2652.19,0.07492,0.35706,0.12538,0.17132,0.8905,0.98483,1,0.9921,0.9921,0.98483,1,0.9921,0.87901,0.13535,0.27408,0.06376,0.21327,0.20248,0.00102345,0.00102345,0.00102345
88,2682.28,0.07681,0.38672,0.13137,0.1848,0.89722,0.99056,0.99939,0.99253,0.99253,0.99056,0.99939,0.99253,0.88243,0.16071,0.29514,0.10049,0.24144,0.25375,0.00101873,0.00101873,0.00101873
89,2712.46,0.07661,0.36139,0.1285,0.1785,0.89802,0.99015,0.99796,0.99234,0.99234,0.99015,0.99796,0.99234,0.85945,0.14531,0.31934,0.10099,0.18476,0.23793,0.00101402,0.00101402,0.00101402
90,2742.6,0.07465,0.37058,0.12539,0.1801,0.8932,0.99476,1,0.99411,0.99411,0.99476,1,0.99411,0.90182,0.13458,0.23331,0.09255,0.16004,0.22539,0.0010093,0.0010093,0.0010093
91,2772.72,0.07016,0.36746,0.12768,0.16907,0.88764,0.99533,0.99992,0.99234,0.99234,0.99533,0.99992,0.99234,0.89227,0.10675,0.20792,0.07348,0.15969,0.17622,0.00100459,0.00100459,0.00100459
92,2802.97,0.06991,0.35046,0.12426,0.15772,0.89417,0.98583,0.99781,0.9939,0.9939,0.98583,0.99781,0.9939,0.90488,0.18958,0.22515,0.05192,0.57494,0.23689,0.000999871,0.000999871,0.000999871
93,2833.11,0.07014,0.32082,0.12507,0.16295,0.89248,0.98591,1,0.99239,0.99239,0.98591,1,0.99239,0.89147,0.13746,0.22567,0.06263,0.21977,0.21049,0.000995156,0.000995156,0.000995156
94,2863.18,0.06914,0.35462,0.12112,0.17034,0.88782,0.98566,1,0.99288,0.99105,0.98566,1,0.99288,0.90303,0.16859,0.22448,0.0796,0.27727,0.25528,0.00099044,0.00099044,0.00099044
95,2893.25,0.06957,0.34855,0.12275,0.16764,0.89071,0.9927,1,0.99233,0.99233,0.9927,1,0.99233,0.92115,0.16757,0.25364,0.07846,0.50733,0.23837,0.000985724,0.000985724,0.000985724
96,2923.56,0.06978,0.33656,0.1224,0.16337,0.89173,0.98621,1,0.99245,0.98718,0.98621,1,0.99245,0.92328,0.15862,0.21076,0.0751,0.31864,0.23525,0.000981008,0.000981008,0.000981008
97,2953.62,0.06779,0.33601,0.12698,0.16582,0.89387,0.99505,1,0.99255,0.99255,0.99505,1,0.99255,0.91351,0.10698,0.21434,0.07178,0.24314,0.18503,0.000976293,0.000976293,0.000976293
98,2983.64,0.07087,0.35051,0.12319,0.18012,0.89321,0.99365,1,0.99325,0.99325,0.99365,1,0.99325,0.91369,0.17503,0.24824,0.07493,0.30483,0.23766,0.000971577,0.000971577,0.000971577
99,3013.57,0.07122,0.38238,0.12777,0.16397,0.89161,0.99333,1,0.99266,0.99266,0.99333,1,0.99266,0.90713,0.16466,0.27047,0.12452,0.23648,0.24048,0.000966861,0.000966861,0.000966861
100,3043.61,0.07007,0.34629,0.12218,0.16432,0.89279,0.98556,0.99846,0.99086,0.85883,0.98556,0.99846,0.99086,0.8342,0.31156,0.42238,0.11235,0.78995,0.43564,0.000962146,0.000962146,0.000962146
101,3073.74,0.06728,0.31665,0.11868,0.16917,0.88943,0.98573,1,0.99234,0.99234,0.98573,1,0.99234,0.89807,0.14008,0.23106,0.07841,0.23229,0.21267,0.00095743,0.00095743,0.00095743
102,3103.71,0.06875,0.33543,0.11343,0.16321,0.88856,0.99266,1,0.99239,0.98527,0.99266,1,0.99239,0.92304,0.11002,0.20155,0.06724,0.24328,0.20284,0.000952714,0.000952714,0.000952714
103,3133.65,0.06676,0.34935,0.11909,0.15432,0.88779,0.9834,0.98889,0.99177,0.99177,0.9834,0.98889,0.99177,0.90977,0.13999,0.21935,0.06955,0.22425,0.2161,0.000947999,0.000947999,0.000947999
104,3163.77,0.06766,0.33535,0.11814,0.16748,0.88753,0.99359,1,0.99341,0.99341,0.99359,1,0.99341,0.90891,0.12336,0.21206,0.05692,0.27483,0.19791,0.000943283,0.000943283,0.000943283
105,3193.79,0.0683,0.33818,0.11872,0.15616,0.89142,0.98555,1,0.99339,0.99065,0.98555,1,0.99339,0.9033,0.17227,0.21578,0.04809,0.30841,0.23811,0.000938567,0.000938567,0.000938567
106,3223.82,0.06779,0.34286,0.12299,0.158,0.89208,0.98966,1,0.99255,0.99255,0.98966,1,0.99255,0.90039,0.14965,0.25157,0.03355,0.285,0.23005,0.000933851,0.000933851,0.000933851
107,3253.87,0.06856,0.31904,0.11537,0.15532,0.89221,0.9907,1,0.99339,0.99339,0.9907,1,0.99339,0.9145,0.19591,0.23894,0.10762,0.33661,0.21532,0.000929136,0.000929136,0.000929136
108,3283.98,0.06872,0.30316,0.11278,0.15873,0.88756,0.98585,1,0.9928,0.9928,0.98585,1,0.9928,0.92184,0.15736,0.21391,0.07394,0.28011,0.2117,0.00092442,0.00092442,0.00092442
109,3314.26,0.06933,0.305,0.11207,0.14669,0.8931,0.98562,1,0.99261,0.99261,0.98562,1,0.99261,0.9023,0.18226,0.20611,0.02422,0.23831,0.25771,0.000919704,0.000919704,0.000919704
110,3344.26,0.06797,0.3105,0.11631,0.16386,0.89326,0.99078,1,0.99374,0.99374,0.99078,1,0.99374,0.9268,0.10961,0.17338,0.08367,0.26026,0.17538,0.000914989,0.000914989,0.000914989
111,3374.5,0.06729,0.31532,0.11049,0.16442,0.88594,0.99581,0.99975,0.9929,0.9929,0.99581,0.99975,0.9929,0.9096,0.10196,0.1999,0.06054,0.21101,0.18452,0.000910273,0.000910273,0.000910273
112,3404.62,0.06887,0.32632,0.1167,0.15857,0.89193,0.99431,1,0.99398,0.99398,0.99431,1,0.99398,0.92471,0.1452,0.20618,0.0918,0.2927,0.21962,0.000905557,0.000905557,0.000905557
113,3434.7,0.06581,0.31273,0.11235,0.15992,0.88926,0.99365,1,0.99245,0.99245,0.99365,1,0.99245,0.92126,0.13905,0.2388,0.0971,0.26302,0.2053,0.000900842,0.000900842,0.000900842
114,3464.77,0.06521,0.29289,0.10968,0.15222,0.88917,0.99416,1,0.99355,0.99355,0.99416,1,0.99355,0.9322,0.13485,0.2013,0.08503,0.23255,0.19241,0.000896126,0.000896126,0.000896126
115,3494.9,0.06561,0.28054,0.10469,0.15273,0.89073,0.99548,1,0.99296,0.99296,0.99548,1,0.99296,0.92328,0.128,0.19223,0.05746,0.23794,0.20052,0.00089141,0.00089141,0.00089141
